,large_knn,small_knn,small_k20_uniform_knn,medium_knn,small_k10_manhattan_knn,small_k5_dist_knn,large_mlp,small_mlp,[01-20 21:53] medium_mlp,[01-21 06:15] medium_mlp,large_attention_mlp,small_attention_mlp,[01-20 22:00] medium_attention_mlp,[01-21 01:33] medium_attention_mlp,large_tab_transformer,small_tab_transformer,[01-21 08:43] medium_tab_transformer,[01-20 21:54] medium_tab_transformer,large_ft_transformer,small_ft_transformer,[01-21 03:36] medium_ft_transformer,[01-20 21:58] medium_ft_transformer,large_random_forest,small_random_forest,medium_random_forest,large_xgboost,small_xgboost,medium_xgboost
large_attention_mlp,0.033203125,0.06759443339960239,0.2787193973634652,0.06374501992031872,0.171875,0.06374501992031872,0.6256983240223464,0.3089887640449438,0.30825688073394497,0.2987249544626594,1.0,0.23540489642184556,0.15708812260536398,0.2551594746716698,0.07720588235294118,0.09741550695825049,0.06126482213438735,0.05511811023622047,0.4732937685459941,0.3415492957746479,0.22574626865671643,0.30245746691871456,0.009671179883945842,0.568870523415978,0.08267716535433071,0.025490196078431372,0.35283018867924526,0.019569471624266144
small_attention_mlp,0.09467455621301775,0.17682926829268292,0.5952380952380952,0.1949685534591195,0.49707602339181284,0.1949685534591195,0.30617283950617286,0.6824644549763034,0.7004608294930875,0.6473214285714286,0.23540489642184556,1.0,0.6560509554140127,0.7379679144385026,0.14691943127962084,0.3333333333333333,0.22929936305732485,0.2229299363057325,0.2314990512333966,0.4463667820069204,0.47641509433962265,0.5401785714285714,0.03488372093023256,0.19909502262443438,0.21176470588235294,0.08484848484848485,0.2951388888888889,0.06626506024096386
[01-20 22:00] medium_attention_mlp,0.13675213675213677,0.21551724137931033,0.4816753926701571,0.26605504587155965,0.48905109489051096,0.26605504587155965,0.19548872180451127,0.470873786407767,0.4744186046511628,0.4675925925925926,0.15708812260536398,0.6560509554140127,1.0,0.6058823529411764,0.1377245508982036,0.4716981132075472,0.34285714285714286,0.3333333333333333,0.1525096525096525,0.3707865168539326,0.4262295081967213,0.4577114427860697,0.05,0.13435114503816795,0.232,0.12389380530973451,0.23461538461538461,0.09649122807017543
[01-21 01:33] medium_attention_mlp,0.08791208791208792,0.15730337078651685,0.5330396475770925,0.1871345029239766,0.4308510638297872,0.1871345029239766,0.33497536945812806,0.6283185840707964,0.6324786324786325,0.6186440677966102,0.2551594746716698,0.7379679144385026,0.6058823529411764,1.0,0.12831858407079647,0.3076923076923077,0.21176470588235294,0.20588235294117646,0.2537878787878788,0.46598639455782315,0.4298245614035088,0.5364806866952789,0.032432432432432434,0.2132132132132132,0.2032967032967033,0.0847457627118644,0.3219178082191781,0.06741573033707865
large_tab_transformer,0.16161616161616163,0.11818181818181818,0.13247863247863248,0.12149532710280374,0.17721518987341772,0.12149532710280374,0.0954653937947494,0.12648221343873517,0.11567164179104478,0.11567164179104478,0.07720588235294118,0.14691943127962084,0.1377245508982036,0.12831858407079647,1.0,0.14049586776859505,0.11818181818181818,0.10909090909090909,0.0945179584120983,0.10126582278481013,0.15714285714285714,0.13636363636363635,0.17391304347826086,0.056851311953352766,0.19298245614035087,0.09,0.10181818181818182,0.12631578947368421
small_tab_transformer,0.22727272727272727,0.36923076923076925,0.26229508196721313,0.43333333333333335,0.36936936936936937,0.43333333333333335,0.12433862433862433,0.2613065326633166,0.24413145539906103,0.2383177570093458,0.09741550695825049,0.3333333333333333,0.4716981132075472,0.3076923076923077,0.14049586776859505,1.0,0.5344827586206896,0.5172413793103449,0.09437751004016064,0.1984732824427481,0.24404761904761904,0.24870466321243523,0.08823529411764706,0.07298136645962733,0.36,0.20967741935483872,0.15948275862068967,0.140625
[01-21 08:43] medium_tab_transformer,0.2222222222222222,0.39622641509433965,0.18681318681318682,0.5106382978723404,0.3300970873786408,0.5106382978723404,0.07611548556430446,0.17412935323383086,0.16822429906542055,0.16822429906542055,0.06126482213438735,0.22929936305732485,0.34285714285714286,0.21176470588235294,0.11818181818181818,0.5344827586206896,1.0,0.6590909090909091,0.06,0.13688212927756654,0.18292682926829268,0.18324607329842932,0.11320754716981132,0.0529595015576324,0.29850746268656714,0.2765957446808511,0.1091703056768559,0.1836734693877551
[01-20 21:54] medium_tab_transformer,0.25,0.37735849056603776,0.1878453038674033,0.48936170212765956,0.32038834951456313,0.48936170212765956,0.06788511749347259,0.16336633663366337,0.16355140186915887,0.16355140186915887,0.05511811023622047,0.2229299363057325,0.3333333333333333,0.20588235294117646,0.10909090909090909,0.5172413793103449,0.6590909090909091,1.0,0.053784860557768925,0.13307984790874525,0.16265060240963855,0.17801047120418848,0.11538461538461539,0.049766718506998445,0.2835820895522388,0.2553191489361702,0.10964912280701754,0.16326530612244897
large_ft_transformer,0.041916167664670656,0.06639839034205232,0.25842696629213485,0.0625,0.1673228346456693,0.0625,0.43140495867768597,0.2767527675276753,0.2743682310469314,0.2743682310469314,0.4732937685459941,0.2314990512333966,0.1525096525096525,0.2537878787878788,0.0945179584120983,0.09437751004016064,0.06,0.053784860557768925,1.0,0.3130434782608696,0.18397085610200364,0.26765799256505574,0.019801980198019802,0.4221105527638191,0.08817635270541083,0.029940119760479042,0.2815884476534296,0.0321285140562249
small_ft_transformer,0.05818181818181818,0.11152416356877323,0.42718446601941745,0.12121212121212122,0.32116788321167883,0.12121212121212122,0.3925438596491228,0.42724458204334365,0.44376899696048633,0.4570552147239264,0.3415492957746479,0.4463667820069204,0.3707865168539326,0.46598639455782315,0.10126582278481013,0.1984732824427481,0.13688212927756654,0.13307984790874525,0.3130434782608696,1.0,0.3920265780730897,0.459546925566343,0.02158273381294964,0.31532846715328466,0.1386861313868613,0.05555555555555555,0.33055555555555555,0.04044117647058824
